"mon_year"	"category"	"n"
"Dec-2011"	"media & arts"	145
"Dec-2011"	"pets & animals"	35
"Dec-2011"	"religion & philosophy"	14
"Dec-2011"	"science & nature"	32
"Dec-2011"	"shopping"	70
"Dec-2011"	"society & culture"	49
"Dec-2011"	"sports, hobbies, & recreation"	61
"Dec-2011"	"technology"	103
"Dec-2011"	"travel & transportation"	109
"Dec-2011"	"work & money"	143
"Dec-2011"	"writing & language"	49
"Dec-2012"	"clothing, beauty, & fashion"	37
"Dec-2012"	"computers & internet"	103
"Dec-2012"	"education"	24
"Dec-2012"	"food & drink"	44
"Dec-2012"	"grab bag"	32
"Dec-2012"	"health & fitness"	97
"Dec-2012"	"home & garden"	47
"Dec-2012"	"human relations"	101
"Dec-2012"	"law & government"	30
"Dec-2012"	"media & arts"	89
"Dec-2012"	"pets & animals"	24
"Dec-2012"	"religion & philosophy"	10
"Dec-2012"	"science & nature"	17
"Dec-2012"	"shopping"	43
"Dec-2012"	"society & culture"	25
"Dec-2012"	"sports, hobbies, & recreation"	33
"Dec-2012"	"technology"	39
"Dec-2012"	"travel & transportation"	61
"Dec-2012"	"work & money"	82
"Dec-2012"	"writing & language"	31
"Dec-2013"	"clothing, beauty, & fashion"	53
"Dec-2013"	"computers & internet"	112
"Dec-2013"	"education"	23
"Dec-2013"	"food & drink"	73
"Dec-2013"	"grab bag"	44
"Dec-2013"	"health & fitness"	86
"Dec-2013"	"home & garden"	58
"Dec-2013"	"human relations"	97
"Dec-2013"	"law & government"	23
"Dec-2013"	"media & arts"	97
"Dec-2013"	"pets & animals"	21
"Dec-2013"	"religion & philosophy"	4
"Dec-2013"	"science & nature"	17
"Dec-2013"	"shopping"	55
"Dec-2013"	"society & culture"	26
"Dec-2013"	"sports, hobbies, & recreation"	43
"Dec-2013"	"technology"	55
"Dec-2013"	"travel & transportation"	68
"Dec-2013"	"work & money"	89
"Dec-2013"	"writing & language"	22
"Feb-2004"	"clothing, beauty, & fashion"	2
"Feb-2004"	"computers & internet"	165
"Feb-2004"	"education"	6
"Feb-2004"	"food & drink"	12
"Feb-2004"	"grab bag"	15
"Feb-2004"	"health & fitness"	21
"Feb-2004"	"home & garden"	23
"Feb-2004"	"human relations"	10
"Feb-2004"	"law & government"	11
"Feb-2004"	"media & arts"	31
"Feb-2004"	"pets & animals"	4
"Feb-2004"	"religion & philosophy"	5
"Feb-2004"	"science & nature"	7
"Feb-2004"	"shopping"	16
"Feb-2004"	"society & culture"	8
"Feb-2004"	"sports, hobbies, & recreation"	6
"Feb-2004"	"technology"	28
"Feb-2004"	"travel & transportation"	27
"Feb-2004"	"work & money"	22
"Feb-2004"	"writing & language"	10
"Feb-2005"	"clothing, beauty, & fashion"	3
"Feb-2005"	"computers & internet"	96
"Feb-2005"	"education"	7
"Feb-2005"	"food & drink"	14
"Feb-2005"	"grab bag"	16
"Feb-2005"	"health & fitness"	19
"Feb-2005"	"home & garden"	11
"Feb-2005"	"human relations"	10
"Feb-2005"	"law & government"	11
"Feb-2005"	"media & arts"	40
"Feb-2005"	"pets & animals"	9
"Feb-2005"	"religion & philosophy"	4
"Feb-2005"	"science & nature"	3
"Feb-2005"	"shopping"	9
"Feb-2005"	"society & culture"	13
"Feb-2005"	"sports, hobbies, & recreation"	8
"Feb-2005"	"technology"	27
"Feb-2005"	"travel & transportation"	28
"Feb-2005"	"work & money"	17
"Feb-2005"	"writing & language"	12
"Feb-2006"	"clothing, beauty, & fashion"	12
"Feb-2006"	"computers & internet"	246
"Feb-2006"	"education"	15
"Feb-2006"	"food & drink"	41
"Feb-2006"	"grab bag"	22
"Feb-2006"	"health & fitness"	65
"Feb-2006"	"home & garden"	33
"Feb-2006"	"human relations"	44
"Feb-2006"	"law & government"	42
"Feb-2006"	"media & arts"	78
"Feb-2006"	"pets & animals"	15
"Feb-2006"	"religion & philosophy"	7
"Feb-2006"	"science & nature"	18
"Feb-2006"	"shopping"	20
"Feb-2006"	"society & culture"	21
"Feb-2006"	"sports, hobbies, & recreation"	32
"Feb-2006"	"technology"	53
"Feb-2006"	"travel & transportation"	60
"Feb-2006"	"work & money"	57
"Feb-2006"	"writing & language"	21
"Feb-2008"	"clothing, beauty, & fashion"	52
"Feb-2008"	"computers & internet"	330
"Feb-2008"	"education"	42
"Feb-2008"	"food & drink"	63
"Feb-2008"	"grab bag"	62
"Feb-2008"	"health & fitness"	109
"Feb-2008"	"home & garden"	75
"Feb-2008"	"human relations"	97
"Feb-2008"	"law & government"	46
"Feb-2008"	"media & arts"	157
"Feb-2008"	"pets & animals"	24
"Feb-2008"	"religion & philosophy"	12
"Feb-2008"	"science & nature"	33
"Feb-2008"	"shopping"	33
"Feb-2008"	"society & culture"	42
"Feb-2008"	"sports, hobbies, & recreation"	55
"Feb-2008"	"technology"	95
"Feb-2008"	"travel & transportation"	103
"Feb-2008"	"work & money"	114
"Feb-2008"	"writing & language"	46
"Feb-2009"	"clothing, beauty, & fashion"	52
"Feb-2009"	"computers & internet"	293
"Feb-2009"	"education"	55
"Feb-2009"	"food & drink"	85
"Feb-2009"	"grab bag"	61
"Feb-2009"	"health & fitness"	110
"Feb-2009"	"home & garden"	77
"Feb-2009"	"human relations"	118
"Feb-2009"	"law & government"	53
"Feb-2009"	"media & arts"	151
"Feb-2009"	"pets & animals"	26
"Feb-2009"	"religion & philosophy"	9
"Feb-2009"	"science & nature"	30
"Feb-2009"	"shopping"	32
"Feb-2009"	"society & culture"	44
"Feb-2009"	"sports, hobbies, & recreation"	65
"Feb-2009"	"technology"	101
"Feb-2009"	"travel & transportation"	107
"Feb-2009"	"work & money"	152
"Feb-2009"	"writing & language"	51
"Feb-2010"	"clothing, beauty, & fashion"	51
"Feb-2010"	"computers & internet"	314
"Feb-2010"	"education"	67
"Feb-2010"	"food & drink"	78
